customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Location ID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,UYKWSP1476,1,United States,California,Los Angeles,90019,"34.049841, -118.33846",34.049841,-118.33846
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,KOMIRT9587,1,United States,California,San Diego,92121,"32.898613, -117.202937",32.898613,-117.202937
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,RHIMQM3989,1,United States,California,Los Angeles,90021,"34.029043, -118.239504",34.029043,-118.239504
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,OXCZEW7397,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,EGFJXV8978,1,United States,California,Los Angeles,90023,"34.017697, -118.200577",34.017697,-118.200577
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,JCBHAM3275,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,AWYYTA6439,1,United States,California,Los Angeles,90025,"34.046174, -118.446333",34.046174,-118.446333
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,SGWJUP9693,1,United States,California,Los Angeles,90026,"34.078991, -118.263804",34.078991,-118.263804
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,CIWTLB9771,1,United States,California,Los Angeles,90027,"34.127194, -118.295647",34.127194,-118.295647
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,JTZSGZ3269,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,LQRUCI7526,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,UZIKCR3845,1,United States,California,Los Angeles,90031,"34.085807, -118.206617",34.085807,-118.206617
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,LDBYYV7898,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,FNYOEC7599,1,United States,California,Los Angeles,90033,"34.050198, -118.210946",34.050198,-118.210946
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,KHEXXG8244,1,United States,California,Los Angeles,90034,"34.030578, -118.399613",34.030578,-118.399613
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,YPYPEY7772,1,United States,California,Los Angeles,90035,"34.051809, -118.383843",34.051809,-118.383843
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,OIQEPN5929,1,United States,California,Los Angeles,90036,"34.070291, -118.349191",34.070291,-118.349191
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,GWBJAU7774,1,United States,California,Los Angeles,90037,"34.002642, -118.287596",34.002642,-118.287596
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,HJCCJV4663,1,United States,California,Los Angeles,90038,"34.088017, -118.327168",34.088017,-118.327168
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,PIUAEO8249,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,YFLUAY2613,1,United States,California,Los Angeles,90040,"33.994524, -118.149953",33.994524,-118.149953
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,IUIIMY2813,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,MWLGBW5553,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,SBWGSZ4926,1,United States,California,Los Angeles,90043,"33.988543, -118.334081",33.988543,-118.334081
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,ATGCGO3724,1,United States,California,Los Angeles,90044,"33.952714, -118.292061",33.952714,-118.292061
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,ZIOEZA9351,1,United States,California,Los Angeles,90045,"33.954017, -118.402447",33.954017,-118.402447
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,BYEWHB5926,1,United States,California,Los Angeles,90046,"34.108455, -118.362081",34.108455,-118.362081
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,FGMNRN7653,1,United States,California,Los Angeles,90047,"33.958149, -118.308441",33.958149,-118.308441
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,RTTXIP8116,1,United States,California,Los Angeles,90048,"34.072945, -118.37267",34.072945,-118.37267
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,ODKPHY5718,1,United States,California,Los Angeles,90049,"34.091829, -118.491244",34.091829,-118.491244
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,THBNJO4877,1,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,NWKXTP8986,1,United States,California,Los Angeles,90057,"34.061918, -118.277939",34.061918,-118.277939
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,IEMCVM9246,1,United States,California,Los Angeles,90058,"34.001617, -118.222274",34.001617,-118.222274
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,UDVSTD6787,1,United States,California,Los Angeles,90059,"33.927254, -118.249826",33.927254,-118.249826
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,WJYFNO3416,1,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,CVBTSQ5569,1,United States,California,Los Angeles,90062,"34.003553, -118.308933",34.003553,-118.308933
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,FCCECI8494,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,UNPTJJ5889,1,United States,California,Los Angeles,90064,"34.037251, -118.423573",34.037251,-118.423573
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,HEHUQY7254,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,SYYAJH5278,1,United States,California,Los Angeles,90066,"34.002028, -118.430656",34.002028,-118.430656
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,YADNXY8115,1,United States,California,Los Angeles,90067,"34.057496, -118.413959",34.057496,-118.413959
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,XPHWUM1789,1,United States,California,Los Angeles,90068,"34.137411, -118.328915",34.137411,-118.328915
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,GIMRQZ5519,1,United States,California,West Hollywood,90069,"34.093781, -118.381061",34.093781,-118.381061
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,CLRFWR3874,1,United States,California,Los Angeles,90071,"34.052917, -118.255178",34.052917,-118.255178
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,AMGLAK6286,1,United States,California,Los Angeles,90077,"34.102084, -118.451629",34.102084,-118.451629
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,GTSNQN5478,1,United States,California,Bell,90201,"33.970343, -118.171368",33.970343,-118.171368
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,JLIRNI7455,1,United States,California,Beverly Hills,90210,"34.099891, -118.414338",34.099891,-118.414338
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,TXSTEZ1633,1,United States,California,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,VWMQZX8232,1,United States,California,Beverly Hills,90212,"34.062095, -118.401508",34.062095,-118.401508
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,WEXJIO8744,1,United States,California,Compton,90220,"33.88151, -118.234451",33.88151,-118.234451
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,TYYKMA6347,1,United States,California,Compton,90221,"33.885811, -118.206459",33.885811,-118.206459
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,YYIINV2569,1,United States,California,Compton,90222,"33.912246, -118.236773",33.912246,-118.236773
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,CXVBGH9943,1,United States,California,Culver City,90230,"33.993991, -118.39704",33.993991,-118.39704
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,TNLPPY8136,1,United States,California,Culver City,90232,"34.019323, -118.391902",34.019323,-118.391902
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,TCHEKI8698,1,United States,California,Downey,90240,"33.956228, -118.120993",33.956228,-118.120993
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,OSQQMX2668,1,United States,California,Downey,90241,"33.940884, -118.128628",33.940884,-118.128628
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,RHNUSX3269,1,United States,California,Downey,90242,"33.921793, -118.140588",33.921793,-118.140588
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,RZURQR9715,1,United States,California,El Segundo,90245,"33.917145, -118.401554",33.917145,-118.401554
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,PHPTGL3423,1,United States,California,Gardena,90247,"33.890853, -118.297967",33.890853,-118.297967
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,WWBCIH4471,1,United States,California,Gardena,90248,"33.876482, -118.284077",33.876482,-118.284077
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,GZRHJO8351,1,United States,California,Gardena,90249,"33.90139, -118.315697",33.90139,-118.315697
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,HJPBWE7293,1,United States,California,Hawthorne,90250,"33.914775, -118.348083",33.914775,-118.348083
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,SEZEXC9369,1,United States,California,Hermosa Beach,90254,"33.86532, -118.396336",33.86532,-118.396336
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,PIHWWY6284,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,ISBNTW6948,1,United States,California,Lawndale,90260,"33.88856, -118.351813",33.88856,-118.351813
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,PFADEF2255,1,United States,California,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,UJZKSJ3366,1,United States,California,Malibu,90263,"34.037037, -118.705803",34.037037,-118.705803
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,TLQIVB5453,1,United States,California,Malibu,90265,"34.074572, -118.831181",34.074572,-118.831181
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,BWVPFT9436,1,United States,California,Manhattan Beach,90266,"33.889632, -118.39737",33.889632,-118.39737
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,YKLGUB4688,1,United States,California,Maywood,90270,"33.988572, -118.186565",33.988572,-118.186565
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,No,BRTQDN4891,1,United States,California,Pacific Palisades,90272,"34.079449, -118.548306",34.079449,-118.548306
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,SRTZFS6327,1,United States,California,Palos Verdes Peninsula,90274,"33.788208, -118.404955",33.788208,-118.404955
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,RAQZTV1959,1,United States,California,Rancho Palos Verdes,90275,"33.753146, -118.367459",33.753146,-118.367459
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,ZEFVQY1381,1,United States,California,Redondo Beach,90277,"33.830453, -118.384565",33.830453,-118.384565
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,QPCOEJ8899,1,United States,California,Redondo Beach,90278,"33.873395, -118.37019",33.873395,-118.37019
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,QXEDQX7819,1,United States,California,South Gate,90280,"33.944624, -118.192615",33.944624,-118.192615
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,FGNAUP5493,1,United States,California,Topanga,90290,"34.115192, -118.61017",34.115192,-118.61017
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,RXAEHC5419,1,United States,California,Venice,90291,"33.991782, -118.479229",33.991782,-118.479229
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,RBJHZC6496,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,YJOZHQ7253,1,United States,California,Playa Del Rey,90293,"33.947305, -118.439841",33.947305,-118.439841
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,DQGQAZ8166,1,United States,California,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,MASFVJ7425,1,United States,California,Inglewood,90302,"33.975332, -118.355252",33.975332,-118.355252
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,WIUHRF2613,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,UTRWOH9473,1,United States,California,Inglewood,90304,"33.936827, -118.359824",33.936827,-118.359824
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,RYBBTX8225,1,United States,California,Inglewood,90305,"33.958134, -118.330905",33.958134,-118.330905
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,ABCVCK8649,1,United States,California,Santa Monica,90401,"34.015481, -118.493231",34.015481,-118.493231
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,XMDZPR2969,1,United States,California,Santa Monica,90402,"34.035849, -118.503508",34.035849,-118.503508
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,VWPLTH6318,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156
